,epoch,load.txt.data.x,load.txt.data.y,load.txt.data.z
269053,2015-06-23 11:50:20.002,-0.50068665,9.933334,-0.23858643
269054,2015-06-23 11:50:20.017,-0.45783997,9.919052,-0.19454956
269056,2015-06-23 11:50:20.036,-0.41023254,9.933334,-0.23382568
269058,2015-06-23 11:50:20.058,-0.37095642,9.954758,-0.29690552
269060,2015-06-23 11:50:20.076,-0.17933655,9.942856,-0.16360474
269062,2015-06-23 11:50:20.098,-0.40785217,9.848831,-0.1743164
269064,2015-06-23 11:50:20.117,-0.45188904,9.84288,-0.26834106
269066,2015-06-23 11:50:20.137,-0.51020813,9.77742,-0.2731018
269068,2015-06-23 11:50:20.157,-0.6685028,9.742905,-0.22906494
269070,2015-06-23 11:50:20.177,-0.72206116,9.833359,-0.32666016
269072,2015-06-23 11:50:20.197,-0.76490784,9.875015,-0.30404663
269074,2015-06-23 11:50:20.217,-0.7506256,9.890488,-0.2576294
269076,2015-06-23 11:50:20.236,-0.73753357,9.865494,-0.23620605
269078,2015-06-23 11:50:20.256,-0.69825745,9.847641,-0.28619385
269080,2015-06-23 11:50:20.276,-0.64945984,9.84169,-0.24453735
269082,2015-06-23 11:50:20.296,-0.5471039,9.883347,-0.22906494
269084,2015-06-23 11:50:20.315,-0.48640442,9.861923,-0.20883179
269086,2015-06-23 11:50:20.336,-0.3733368,9.886917,-0.21835327
269088,2015-06-23 11:50:20.355,-0.3078766,9.878586,-0.3314209
269090,2015-06-23 11:50:20.375,-0.1912384,9.876205,-0.30999756
269092,2015-06-23 11:50:20.395,-0.036514282,9.896439,-0.26834106
269094,2015-06-23 11:50:20.415,0.07417297,9.879776,-0.12670898
269096,2015-06-23 11:50:20.437,0.24555969,9.884537,-0.2826233
269098,2015-06-23 11:50:20.457,0.23365784,9.891678,-0.34451294
269100,2015-06-23 11:50:20.476,0.19081116,9.888107,-0.3076172
269102,2015-06-23 11:50:20.496,0.09916687,9.914291,-0.33618164
269104,2015-06-23 11:50:20.516,0.433609,9.914291,-0.3814087
269106,2015-06-23 11:50:20.536,0.61094666,9.976181,-0.39331055
269108,2015-06-23 11:50:20.556,0.5990448,9.986893,-0.4968567
269110,2015-06-23 11:50:20.575,0.5335846,9.934525,-0.50756836
269112,2015-06-23 11:50:20.595,0.47050476,9.871445,-0.5361328
269114,2015-06-23 11:50:20.615,0.433609,9.863113,-0.5801697
269116,2015-06-23 11:50:20.635,0.38719177,9.913101,-0.56469727
269118,2015-06-23 11:50:20.655,0.4502716,9.934525,-0.60754395
269120,2015-06-23 11:50:20.676,0.46931458,9.994034,-0.5623169
269122,2015-06-23 11:50:20.694,0.48002625,9.959518,-0.5623169
269124,2015-06-23 11:50:20.716,0.5347748,9.914291,-0.6932373
269126,2015-06-23 11:50:20.734,0.57048035,9.873825,-0.67419434
269128,2015-06-23 11:50:20.756,0.49668884,9.859543,-0.6420593
269130,2015-06-23 11:50:20.775,0.49787903,9.857162,-0.56469727
269132,2015-06-23 11:50:20.796,0.63594055,9.882156,-0.6123047
269134,2015-06-23 11:50:20.815,0.70140076,9.865494,-0.60040283
269136,2015-06-23 11:50:20.835,0.7573395,9.888107,-0.6539612
269138,2015-06-23 11:50:20.855,0.747818,9.932144,-0.67300415
269140,2015-06-23 11:50:20.875,0.5419159,9.955948,-0.6444397
269142,2015-06-23 11:50:20.894,0.4086151,9.955948,-0.62420654
269144,2015-06-23 11:50:20.914,0.32887268,10.007126,-0.6123047
269146,2015-06-23 11:50:20.934,0.3764801,10.023788,-0.60635376
269148,2015-06-23 11:50:20.954,0.38838196,10.009506,-0.5956421
269150,2015-06-23 11:50:20.974,0.41337585,9.982132,-0.59921265
269152,2015-06-23 11:50:20.994,0.4169464,9.933334,-0.6099243
269154,2015-06-23 11:50:21.015,0.41218567,9.939285,-0.63253784
269156,2015-06-23 11:50:21.033,0.42289734,9.936905,-0.6444397
269158,2015-06-23 11:50:21.055,0.41932678,9.920242,-0.64682007
269160,2015-06-23 11:50:21.073,0.38005066,9.949997,-0.5956421
269162,2015-06-23 11:50:21.095,0.3943329,9.960709,-0.59088135
269164,2015-06-23 11:50:21.114,0.33244324,9.928574,-0.5765991
269166,2015-06-23 11:50:21.134,0.2372284,9.816696,-0.50042725
269168,2015-06-23 11:50:21.154,0.1134491,9.861923,-0.5968323
269170,2015-06-23 11:50:21.174,0.033706665,9.939285,-0.6361084
269172,2015-06-23 11:50:21.194,0.039657593,10.038071,-0.64682007
269174,2015-06-23 11:50:21.213,0.16343689,10.027359,-0.69680786
269176,2015-06-23 11:50:21.233,0.24317932,10.008316,-0.7944031
269178,2015-06-23 11:50:21.253,0.16343689,10.040451,-0.851532
269180,2015-06-23 11:50:21.273,0.0634613,10.072586,-0.7337036
269182,2015-06-23 11:50:21.293,-0.06388855,10.058304,-0.6253967
269184,2015-06-23 11:50:21.312,-0.1662445,10.072586,-0.3802185
269186,2015-06-23 11:50:21.334,-0.19361877,9.992844,-0.50875854
269188,2015-06-23 11:50:21.352,-0.20195007,9.986893,-0.5635071
269190,2015-06-23 11:50:21.372,-0.19361877,10.0368805,-0.40045166
269192,2015-06-23 11:50:21.394,-0.19480896,9.947617,-0.32666016
269194,2015-06-23 11:50:21.413,-0.22099304,9.757187,-0.2814331
269196,2015-06-23 11:50:21.434,-0.20671082,9.58461,-0.30523682
269198,2015-06-23 11:50:21.453,-0.21980286,9.545334,-0.23620605
269200,2015-06-23 11:50:21.473,-0.29478455,9.546524,-0.28857422
269202,2015-06-23 11:50:21.493,-0.31858826,9.663162,-0.38259888
269204,2015-06-23 11:50:21.513,-0.39118958,9.782181,-0.27548218
269206,2015-06-23 11:50:21.532,-0.47569275,9.923813,-0.118377686
269208,2015-06-23 11:50:21.553,-0.5375824,9.97023,-0.15170288
269210,2015-06-23 11:50:21.572,-0.4376068,9.973801,-0.28619385
269212,2015-06-23 11:50:21.594,-0.2328949,9.97142,-0.421875
269214,2015-06-23 11:50:21.612,-0.08769226,9.926193,-0.5289917
269216,2015-06-23 11:50:21.632,-0.07698059,9.9214325,-0.45996094
269218,2015-06-23 11:50:21.653,-0.26026917,9.9214325,-0.50042725
269220,2015-06-23 11:50:21.673,-0.44117737,9.941666,-0.4790039
269222,2015-06-23 11:50:21.693,-0.6446991,9.922623,-0.50994873
269224,2015-06-23 11:50:21.713,-0.7363434,9.882156,-0.45639038
269226,2015-06-23 11:50:21.733,-0.73158264,9.829788,-0.4373474
269228,2015-06-23 11:50:21.753,-0.6851654,9.752426,-0.46115112
269230,2015-06-23 11:50:21.772,-0.62446594,9.701248,-0.44924927
269232,2015-06-23 11:50:21.792,-0.65065,9.758377,-0.35284424
269234,2015-06-23 11:50:21.812,-0.5149689,9.797653,-0.4206848
269236,2015-06-23 11:50:21.832,-0.4875946,9.858353,-0.43377686
269238,2015-06-23 11:50:21.852,-0.503067,9.934525,-0.45281982
269240,2015-06-23 11:50:21.872,-0.41618347,9.992844,-0.46948242
269242,2015-06-23 11:50:21.892,-0.40190125,10.076157,-0.5111389
269244,2015-06-23 11:50:21.911,-0.39356995,10.134476,-0.4885254
269246,2015-06-23 11:50:21.933,-0.38404846,10.109482,-0.36831665
269248,2015-06-23 11:50:21.951,-0.4542694,9.983322,-0.33261108
269250,2015-06-23 11:50:21.973,-0.48997498,9.879776,-0.3552246
269252,2015-06-23 11:50:21.992,-0.535202,9.810745,-0.28619385
269254,2015-06-23 11:50:22.013,-0.5947113,9.836929,-0.25881958
269256,2015-06-23 11:50:22.032,-0.6292267,9.90239,-0.24453735
269258,2015-06-23 11:50:22.052,-0.6589813,9.930954,-0.25524902
269260,2015-06-23 11:50:22.072,-0.7042084,9.97023,-0.19335938
269262,2015-06-23 11:50:22.092,-0.7589569,9.928574,-0.17788696
269264,2015-06-23 11:50:22.111,-0.7244415,9.879776,-0.21716309
269266,2015-06-23 11:50:22.131,-0.69944763,9.866684,-0.22787476
269268,2015-06-23 11:50:22.151,-0.7351532,9.911911,-0.26239014
269270,2015-06-23 11:50:22.171,-0.6946869,9.920242,-0.17907715
269272,2015-06-23 11:50:22.190,-0.6923065,9.913101,-0.13027954
269274,2015-06-23 11:50:22.211,-0.68040466,9.90239,-0.17193604
269276,2015-06-23 11:50:22.230,-0.70658875,9.877396,-0.20288086
269278,2015-06-23 11:50:22.252,-0.70658875,9.880966,-0.16479492
269280,2015-06-23 11:50:22.270,-0.8006134,9.836929,-0.06958008
269282,2015-06-23 11:50:22.292,-0.8565521,9.825027,-0.06124878
269284,2015-06-23 11:50:22.312,-0.86964417,9.795273,-0.11123657
269286,2015-06-23 11:50:22.331,-0.8601227,9.795273,-0.08862305
269288,2015-06-23 11:50:22.351,-0.93510437,9.807175,-0.17312622
269290,2015-06-23 11:50:22.371,-0.79704285,9.939285,-0.12908936
269292,2015-06-23 11:50:22.391,-0.84703064,9.959518,-0.06719971
269294,2015-06-23 11:50:22.411,-1.0398407,9.896439,-0.18740845
269296,2015-06-23 11:50:22.431,-1.2017059,9.915482,-0.15408325
